Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 00:54:23 EST 2022,0,0,0
Tue Jul 19 00:54:33 EST 2022,0,0,0
Tue Jul 19 00:54:43 EST 2022,0,0,0
Tue Jul 19 00:54:53 EST 2022,1,0,1
Tue Jul 19 00:55:03 EST 2022,1,0,1
Tue Jul 19 00:55:13 EST 2022,1,0,1
Tue Jul 19 00:55:23 EST 2022,1,1,0
Tue Jul 19 00:55:33 EST 2022,0,0,0
Tue Jul 19 00:55:43 EST 2022,0,0,0
Tue Jul 19 00:55:53 EST 2022,0,0,0
Tue Jul 19 00:56:03 EST 2022,0,0,0
Tue Jul 19 00:56:13 EST 2022,0,0,0
Tue Jul 19 00:56:23 EST 2022,0,0,0
Tue Jul 19 00:56:33 EST 2022,0,0,0
Tue Jul 19 00:56:43 EST 2022,0,0,0
Tue Jul 19 00:56:53 EST 2022,0,0,0
Tue Jul 19 00:57:03 EST 2022,0,0,0
Tue Jul 19 00:57:13 EST 2022,0,0,0
Tue Jul 19 00:57:23 EST 2022,0,0,0
Tue Jul 19 00:57:33 EST 2022,0,0,0
Tue Jul 19 00:57:43 EST 2022,0,0,0
Tue Jul 19 00:57:53 EST 2022,0,0,0
Tue Jul 19 00:58:03 EST 2022,0,0,0
Tue Jul 19 00:58:14 EST 2022,0,0,0
Tue Jul 19 00:58:24 EST 2022,0,0,0
Tue Jul 19 00:58:34 EST 2022,0,0,0
Tue Jul 19 00:58:44 EST 2022,0,0,0
Tue Jul 19 00:58:54 EST 2022,0,0,0
Tue Jul 19 00:59:04 EST 2022,0,0,0
Tue Jul 19 00:59:14 EST 2022,0,0,0
Tue Jul 19 00:59:24 EST 2022,0,0,0
Tue Jul 19 00:59:34 EST 2022,0,0,0
Tue Jul 19 00:59:44 EST 2022,0,0,0
Tue Jul 19 00:59:54 EST 2022,0,0,0
Tue Jul 19 01:00:04 EST 2022,0,0,0
Tue Jul 19 01:00:14 EST 2022,0,0,0
Tue Jul 19 01:00:24 EST 2022,0,0,0
Tue Jul 19 01:00:34 EST 2022,0,0,0
Tue Jul 19 01:00:44 EST 2022,0,0,0
Tue Jul 19 01:00:54 EST 2022,0,0,0
Tue Jul 19 01:01:04 EST 2022,0,0,0
Tue Jul 19 01:01:14 EST 2022,0,0,0
Tue Jul 19 01:01:24 EST 2022,0,0,0
Tue Jul 19 01:01:34 EST 2022,0,0,0
Tue Jul 19 01:01:44 EST 2022,0,0,0
Tue Jul 19 01:01:54 EST 2022,0,0,0
Tue Jul 19 01:02:04 EST 2022,0,0,0
